kms_driven,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
62000,28.09,1248.0,87.36000000000001,885.0,7.1
76792,20.73,1373.0,96.11000000000001,911.0,6.37
34445,19.4,1198.0,83.86000000000001,868.0,4.24
41339,18.9,1197.0,83.79,8186.0,5.87
62607,17.5,1199.0,83.93,887.0,7.21
52794,21.01,1197.0,83.79,8180.0,6.77
33864,20.0,999.0,69.93,7101.0,5.86
73000,19.5,1582.0,110.74000000000001,12624.0,4.25
70000,21.01,1197.0,83.79,8180.0,4.75
67754,21.9,1498.0,104.86000000000001,986.0,6.15
78000,15.1,2179.0,152.53,15287.0,10.25
83000,24.52,1248.0,87.36000000000001,885.0,7.8
17778,20.7,1197.0,83.79,8186.0,7.04
16499,20.7,1197.0,83.79,8186.0,7.14
33364,18.7,1199.0,83.93,887.0,4.79
64784,18.9,1197.0,83.79,82.0,4.26
80000,16.95,1498.0,104.86000000000001,977.0,3.0
77482,23.84,1199.0,83.93,84.0,3.99
60000,19.0,1199.0,83.93,887.0,6.25
34312,20.09,1199.0,83.93,8482.0,5.57
53000,19.0,1199.0,83.93,8482.0,6.5
45000,18.1,1199.0,83.93,887.0,5.75
23000,17.8,1198.0,83.86000000000001,867.0,6.9
80001,21.21,1197.0,83.79,8180.0,4.9
62000,28.4,1248.0,87.36000000000001,7402.0,5.5
57000,14.8,1497.0,104.79,12136.0,8.5
21000,19.4,1198.0,83.86000000000001,868.0,3.9
43415,22.38,1197.0,83.79,8850.0,4.08
24412,22.54,1396.0,97.72000000000001,8873.0,7.58
45000,14.11,2199.0,153.93,1972.0,25.9
70251,21.21,1197.0,83.79,8180.0,5.33
44000,18.4,1498.0,104.86000000000001,11935.0,9.9
64000,17.0,1591.0,111.37,1213.0,9.5
94000,17.8,1198.0,83.86000000000001,867.0,4.75
66000,14.28,1798.0,125.86000000000001,13803.0,6.5
86001,26.0,1498.0,104.86000000000001,986.0,5.75
62000,14.28,1798.0,125.86000000000001,13803.0,6.9
50000,17.43,1396.0,97.72000000000001,1055.0,6.25
79000,20.5,1582.0,110.74000000000001,1262.0,9.25
74002,28.4,1248.0,87.36000000000001,7402.0,6.75
65000,23.9,1582.0,110.74000000000001,12632.0,5.9
39718,21.0,1197.0,83.79,8180.0,7.58
88281,21.4,1197.0,83.79,831.0,5.01
77253,22.38,1197.0,83.79,8850.0,4.91
72000,16.55,1968.0,137.76000000000002,14751.0,11.9
102614,16.8,1497.0,104.79,1164.0,4.01
78911,17.8,1497.0,104.79,1173.0,6.37
99000,15.3,2993.0,209.51000000000002,258.0,28.9
47975,18.9,1197.0,83.79,8186.0,4.96
56000,19.27,2143.0,150.01000000000002,16762.0,29.5
78000,15.26,2143.0,150.01000000000002,2032.0,23.9
42000,23.1,998.0,69.86000000000001,6704.0,4.5
60000,21.4,1197.0,83.79,831.0,5.1
100657,19.0,1199.0,83.93,887.0,5.67
32000,13.0,1591.0,111.37,1213.0,10.9
50570,19.4,1198.0,83.86000000000001,868.0,2.8
42392,18.9,1197.0,83.79,82.0,5.13
78000,22.7,1498.0,104.86000000000001,8984.0,3.75
100000,15.0,1586.0,111.02000000000001,10468.0,1.55
94822,22.54,1396.0,97.72000000000001,8873.0,5.43
70727,17.0,1591.0,111.37,1213.0,9.12
70000,18.49,1493.0,104.51,100.0,6.15
61000,20.68,1995.0,139.65,188.0,19.75
92000,18.0,1198.0,83.86000000000001,867.0,3.6
58857,15.4,1497.0,104.79,1173.0,6.5
68237,20.51,998.0,69.86000000000001,6704.0,3.89
31237,21.01,1197.0,83.79,8180.0,7.27
45000,20.14,1197.0,83.79,8186.0,4.95
53000,25.8,1498.0,104.86000000000001,986.0,6.75
60464,21.63,998.0,69.86000000000001,6705.0,4.6
40171,17.4,1497.0,104.79,1173.0,5.17
77299,18.9,1197.0,83.79,82.0,4.79
39000,16.35,1956.0,136.92000000000002,16767.0,13.95
29000,15.43,1498.0,104.86000000000001,10849.0,12.9
60000,18.7,1199.0,83.93,887.0,4.75
80000,22.54,1396.0,97.72000000000001,8873.0,6.9
78000,21.7,1498.0,104.86000000000001,9896.0,5.5
58000,24.7,1498.0,104.86000000000001,9789.0,5.5
44019,18.6,1197.0,83.79,858.0,3.15
13066,22.05,796.0,55.720000000000006,4733.0,3.69
36015,18.9,1197.0,83.79,82.0,3.61
14000,19.65,1197.0,83.79,8676.0,6.99
28061,22.05,796.0,55.720000000000006,4733.0,3.43
40300,13.9,1498.0,104.86000000000001,105.0,6.5
58231,23.95,998.0,69.86000000000001,6705.0,3.32
13000,20.28,998.0,69.86000000000001,11841.0,8.9
32997,22.05,796.0,55.720000000000006,4733.0,3.39
41203,18.7,1199.0,83.93,887.0,3.99
44000,26.0,1498.0,104.86000000000001,986.0,5.5
29200,25.6,1498.0,104.86000000000001,979.0,8.75
26638,21.7,998.0,69.86000000000001,6571.0,4.19
35000,15.4,1497.0,104.79,1173.0,7.45
32000,16.9,1395.0,97.65,14751.0,21.0
68499,17.6,1582.0,110.74000000000001,1262.0,10.83
53750,23.0,1498.0,104.86000000000001,9896.0,6.85
48341,22.05,796.0,55.720000000000006,4733.0,3.03
34260,21.5,1197.0,83.79,8180.0,3.95
48380,23.0,1498.0,104.86000000000001,9896.0,5.83
52000,19.67,1582.0,110.74000000000001,1262.0,9.95
26610,23.95,998.0,69.86000000000001,6705.0,3.65
66019,24.2,1498.0,104.86000000000001,9387.0,7.75
21607,19.34,1198.0,83.86000000000001,7594.0,4.7
52162,16.5,1353.0,94.71000000000001,13808.0,11.92
20336,19.2,999.0,69.93,11398.0,12.81
68591,25.1,1248.0,87.36000000000001,885.0,6.75
84000,25.1,1498.0,104.86000000000001,986.0,5.25
19000,21.43,1364.0,95.48,8679.0,14.95
58500,23.0,1498.0,104.86000000000001,9896.0,6.65
66455,19.6,2400.0,168.00000000000003,190.0,19.35
26597,18.2,998.0,69.86000000000001,11835.0,9.25
73616,22.0,1197.0,83.79,8180.0,3.75
62466,18.7,1199.0,83.93,887.0,3.9
20041,20.7,1197.0,83.79,8186.0,6.19
49000,21.21,1197.0,83.79,8180.0,3.65
