kms_driven,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
28194,18.27,998.0,998.0,11835.0,9.03
34500,15.01,1998.0,1998.0,24808.0,52.0
50605,16.1,1950.0,1950.0,1917.0,39.9
36937,21.4,1197.0,1197.0,831.0,6.4
42000,13.68,2393.0,2393.0,14751.0,18.75
55000,20.37,1995.0,1995.0,18774.0,41.5
70391,21.01,1197.0,1197.0,8180.0,5.12
56000,16.3,1797.0,1797.0,1475.0,4.95
52190,18.9,1197.0,1197.0,82.0,4.31
40000,11.78,2143.0,2143.0,16762.0,9.99
72000,20.38,1968.0,1968.0,143.0,20.0
48173,998.0,671.0,671.0,90.0,2.88
110000,12.05,1995.0,1995.0,154.0,7.3
50000,16.8,1497.0,1497.0,1163.0,3.39
44132,17.9,2143.0,2143.0,1341.0,26.9
90000,17.4,1497.0,1497.0,1173.0,4.75
49000,12.4,1996.0,1996.0,16762.0,33.5
70000,12.07,2967.0,2967.0,2414.0,40.0
49341,15.29,1591.0,1591.0,1213.0,8.42
55000,13.8,2999.0,2999.0,175.0,18.95
55861,22.1,1396.0,1396.0,887.0,10.27
76000,9.17,2995.0,2995.0,33525.0,49.5
68000,13.68,2393.0,2393.0,14751.0,14.25
52565,17.8,1198.0,1198.0,867.0,4.17
72000,18.0,1969.0,1969.0,190.0,29.55
70000,14.75,2967.0,2967.0,245.0,40.0
73074,18.9,1197.0,1197.0,8186.0,4.93
45000,16.35,1956.0,1956.0,16767.0,13.75
90995,1197.0,82.0,82.0,114.0,3.35
30000,23.01,999.0,999.0,67.0,3.35
80000,1498.0,986.0,986.0,200.0,4.75
42346,20.51,998.0,998.0,6704.0,3.01
31120,18.0,1497.0,1497.0,1176.0,11.5
100000,22.32,1582.0,1582.0,12632.0,3.95
33500,17.8,1496.0,1496.0,1055.0,7.5
64000,1197.0,82.0,82.0,114.0,4.25
110000,1497.0,1186600.0,1186600.0,1464800.0,3.5
70000,12.07,2967.0,2967.0,2414.0,40.0
49341,15.29,1591.0,1591.0,1213.0,8.42
55000,13.8,2999.0,2999.0,175.0,18.95
55861,22.1,1396.0,1396.0,887.0,10.27
76000,9.17,2995.0,2995.0,33525.0,49.5
